phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values,w_bins
1,0,0,0,485,,3.7772544145979254,3.6006321123919163,,0.17662230220600825,,,,20,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,1,0,0,484,,3.8841410009795263,3.690517730930789,,0.19362327004873664,,,,21,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,2,0,0,483,,3.9401697312456747,3.7473396042995883,,0.19283012694608667,,,,22,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,3,0,0,483,,3.8701889940725334,3.6623356059636083,,0.207853388108925,,,,20,0,1,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,4,0,0,483,,3.9308692894393693,3.753719980339863,,0.17714930909950738,,,,21,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,5,0,0,483,,3.87182506952652,3.7149826629865816,,0.15684240653993853,,,,20,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,6,0,0,483,,3.7796571000889396,3.592464450051225,,0.1871926500377146,,,,18,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,7,0,0,483,,3.7424582742221824,3.5655187770289354,,0.17693949719324722,,,,17,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,8,0,0,483,,3.708790838788219,3.5305595316054874,,0.1782313071827315,,,,17,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,9,0,0,483,,3.7325042054790427,3.5678602664919947,,0.16464393898704813,,,,18,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,10,0,0,483,,3.770216309780159,3.599175376569439,,0.17104093321071967,,,,19,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,11,0,0,483,,3.8023169348897463,3.6284623975283474,,0.17385453736139955,,,,19,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,12,0,0,483,,3.82103749147799,3.6430954222812453,,0.1779420691967444,,,,20,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,13,0,0,483,,3.909013142647909,3.7265399997286197,,0.18247314291928818,,,,22,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
1,14,0,0,483,,3.9150878741789246,3.7331118353494075,,0.18197603882951746,,,,22,0,0,continuous_intensity,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,5
