phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values,w_bins
1,0,0,0,202,,3.4285823226100898,3.3893653708756513,,0.03921695173443851,,,,17,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,1,0,0,202,,3.4635520917910987,3.343689948077317,,0.11986214371378168,,,,16,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,2,0,0,202,,3.4403744489620065,3.3285615552655905,,0.111812893696416,,,,16,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,3,0,0,202,,3.562814021754103,3.4589747083408033,,0.10383931341329955,,,,17,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,4,0,0,202,,3.493463002598385,3.3826187268579706,,0.11084427574041422,,,,16,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,5,0,0,202,,3.410560264849495,3.2766060657817784,,0.13395419906771666,,,,15,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,6,0,0,202,,3.4234029688760903,3.243349468999119,,0.1800534998769714,,,,14,0,1,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,7,0,0,202,,3.4478958634069454,3.300750776297665,,0.14714508710928031,,,,15,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,8,0,0,202,,3.4843205180953545,3.3639237026566606,,0.12039681543869385,,,,16,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
1,9,0,0,202,,3.3373536015658156,3.2362859081793456,,0.10106769338647004,,,,15,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,1000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,60,manuscript_results/enso_state_daily.nc,enso_state,0,5
