phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,w_bins
1,0,0,0,485,,3.640488297780521,3.5763767777791844,,0.06411152000133669,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,1,0,0,484,,3.75041043434226,3.6784726277735147,,0.07193780656874527,,,,21,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,2,0,0,483,,3.7969250026309367,3.7341356900195444,,0.06278931261139231,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,3,0,0,483,,3.7620179580961315,3.658526457942879,,0.10349150015325259,,,,20,0,1,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,4,0,0,483,,3.813515286856184,3.7575100600061666,,0.0560052268500173,,,,21,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,5,0,0,483,,3.761078246507277,3.711166146351369,,0.04991210015590797,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,6,0,0,483,,3.6947517009654707,3.6100277554495643,,0.08472394551590634,,,,18,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,7,0,0,483,,3.6744311007701507,3.5729228209255766,,0.10150827984457411,,,,17,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,8,0,0,483,,3.631840180585503,3.5306405717992533,,0.10119960878624967,,,,17,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,9,0,0,483,,3.631340954765462,3.5661451291057515,,0.0651958256597105,,,,18,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,10,0,0,483,,3.6516394627375477,3.5696608458772427,,0.08197861686030494,,,,19,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,11,0,0,483,,3.695780135451469,3.608764520690061,,0.08701561476140807,,,,19,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,12,0,0,483,,3.6963843894307247,3.6278312154904997,,0.06855317394022498,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,13,0,0,483,,3.756925658049604,3.7099391246562328,,0.04698653339337122,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,14,0,0,483,,3.7661497880167873,3.737573143772831,,0.02857664424395656,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,15,0,0,483,,3.730991437194195,3.689155811065878,,0.04183562612831704,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,16,0,0,483,,3.7572260140795763,3.705156161414134,,0.05206985266544217,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,17,0,0,483,,3.839754610283954,3.8107034713726895,,0.02905113891126465,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,18,0,0,483,,3.7921456592983454,3.7902423247376382,,0.0019033345607071261,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,19,0,0,483,,3.7439524208387076,3.7526461826621698,,-0.008693761823462154,,,,21,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
1,20,0,0,483,,3.756957311124851,3.77693772624892,,-0.019980415124068784,,,,22,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,5
