phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values,w_bins
6,0,0,0,413,,3.5966539244262234,3.611854454905111,,-0.015200530478887586,,,,19,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,1,0,0,413,,3.7175942399325246,3.7573205877499554,,-0.039726347817430785,,,,21,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,2,0,0,413,,3.672377857134875,3.687700497234079,,-0.0153226400992037,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,3,0,0,413,,3.766047936524282,3.788523685385706,,-0.022475748861424005,,,,21,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,4,0,0,413,,3.6718538047100653,3.6925805583767923,,-0.02072675366672705,,,,20,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,5,0,0,412,,3.586572224192474,3.6049112119420514,,-0.01833898774957765,,,,18,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,6,0,0,411,,3.5861922221872296,3.543954598580669,,0.04223762360656069,,,,17,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,7,0,0,410,,3.5550092677313128,3.4584212659190494,,0.09658800181226335,,,,16,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,8,0,0,409,,3.418771538002814,3.274974638637228,,0.14379689936558604,,,,14,0,1,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
6,9,0,0,409,,3.488282507002677,3.3585167717714297,,0.12976573523124735,,,,15,0,0,continuous_intensity,from_file,90.0,,"1991-01-01,2010-12-31",60,0,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,,10
