phase,lag,n_on,n_off,n_total,p_on,H_uncond,H_cond,IG_bits,MI_bits,KL_on_bits,KL_off_bits,q90_shift,n_bins,underpowered,bestlag_phase,window_mode,gate_source,gate_percentile,gate_threshold,gate_train,block_len,n_null,bin_method,bins_min,bins_max,fixed_bins,test_window,target,underpowered_policy,two_sided,min_on,min_off,min_total,condition_file,condition_var,condition_values
1,0,48,437,485,0.09896907216494845,3.6727262591903065,3.594177635192676,0.07854862399763086,,0.5770633978268932,0.01386438041352079,0.2531357388316151,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,1,47,437,484,0.09710743801652892,3.782255100605239,3.7065041732881667,0.07575092731707227,,0.5682989353604911,0.012462635780767011,0.239185862493406,21,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,2,46,437,483,0.09523809523809523,3.831301590690187,3.7584326935822028,0.07286889710798398,,0.5551611784329721,0.01150581667154579,0.2028985507246377,22,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,3,46,437,483,0.09523809523809523,3.787014518936048,3.716266661642116,0.07074785729393185,,0.5428107661959869,0.011607985037745914,0.15942028985507245,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,4,46,437,483,0.09523809523809523,3.8409112381960537,3.788499791714374,0.05241144648167921,,0.3947910666727083,0.009183628513426433,0.13768115942028986,21,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,5,46,437,483,0.09523809523809523,3.78683531496445,3.7600816800731325,0.026753634891317053,,0.20338015110397048,0.004625928162215,0.11594202898550723,20,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,6,46,437,483,0.09523809523809523,3.714174128121544,3.6827843452806377,0.03138978284090634,,0.23497150652044188,0.00628441332885602,0.050724637681159424,18,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,7,46,437,483,0.09523809523809523,3.68971782730477,3.658201320931207,0.03151650637356262,,0.24240662461759127,0.005717378552463686,0.050724637681159424,17,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,8,46,437,483,0.09523809523809523,3.6492558037084297,3.6158643931131857,0.03339141059524288,,0.2683412783078321,0.004648946419404228,0.0072463768115941934,17,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
1,9,46,437,483,0.09523809523809523,3.6550939996085603,3.627307412085606,0.027786587522954945,,0.22034184790328853,0.004040983664393617,-0.014492753623188415,18,0,0,binary_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",60,2000,freedman_diaconis,10,80,30,"2011-01-01,2020-12-31",amp_phase,flag_only,0,20,100,200,,,
