phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,pfa,q
1,0,48,437,14.791160868928348,21.779877663856475,0.6791204752024,0.6474951409825587,21.702967643737793,0.6374695897102356,21.065498054027557,,,,,,0.1875,0.0851063829787234,4.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,1,47,437,11.574625199602528,19.398293467386097,0.5966826524746972,0.5682150676831097,18.744993209838867,0.980036735534668,17.7649564743042,,,,,,0.2553191489361702,0.13043478260869565,4.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,2,46,437,9.193833386314525,17.570721751421058,0.5232473381789772,0.4976400171081744,16.280972003936768,1.001153588294983,15.279818415641785,,,,,,0.2391304347826087,0.13333333333333333,3.6666666666666665,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,3,46,437,7.184997621676469,16.659640558054207,0.43128167121245825,0.41384447762397963,13.737016677856445,1.6261166334152222,12.110900044441223,,,,,,0.21739130434782608,0.08888888888888889,5.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,4,46,437,6.3064561791854405,16.771912139896337,0.37601295109243393,0.3668038835130162,11.715629577636719,1.7655459642410278,9.950083613395691,,,,,,0.1956521739130435,0.13333333333333333,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,5,46,437,6.104883827090059,17.615294116411565,0.346567237920958,0.34193250103368655,9.502810001373291,1.9367294311523438,7.566080570220947,,,,,,0.15217391304347827,0.13333333333333333,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,6,46,437,5.951128619861548,18.3512735925569,0.32428967885233145,0.3205153780306422,8.58814287185669,1.5934327840805054,6.994710087776184,,,,,,0.13043478260869565,0.08888888888888889,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,7,46,437,4.30864066599913,17.96946055698005,0.23977573797147092,0.23593498582777653,7.1808671951293945,1.8388299942016602,5.342037200927734,,,,,,0.13043478260869565,0.044444444444444446,6.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,8,46,437,2.2351214320876247,17.712209341578614,0.1261910013021796,0.12386538446779444,6.396239757537842,2.1017184257507324,4.294521331787109,,,,,,0.1956521739130435,0.13333333333333333,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,9,46,437,0.9753433237666396,17.96744297545684,0.05428392482441372,0.0533455162770519,4.837255001068115,1.7836087942123413,3.053646206855774,,,,,,0.2826086956521739,0.08888888888888889,6.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,10,46,437,0.018907118835902015,18.234847461581136,0.0010368673977524234,0.0010217757441459085,7.261614561080933,0.8241851925849915,6.437429368495941,,,,,,0.32608695652173914,0.13333333333333333,5.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,11,46,437,-0.624057189738314,18.09966438555026,-0.03447893709214441,-0.03388639215489807,9.949092388153076,1.6299065351486206,8.319185853004456,,,,,,0.30434782608695654,0.13333333333333333,4.666666666666667,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,12,46,437,-1.1583014473796436,17.768339885179024,-0.065189064080534,-0.06350145072559223,5.556271553039551,2.3838393688201904,3.1724321842193604,,,,,,0.30434782608695654,0.08888888888888889,7.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,13,46,437,-2.0298277972334278,18.43729096454466,-0.11009360329219917,-0.10655283088764869,4.32097589969635,3.6318371295928955,0.6891387701034546,,,,,,0.32608695652173914,0.13333333333333333,5.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,14,46,437,-3.5412082627961237,20.310474420410465,-0.1743537934907853,-0.16828840608335782,5.182382583618164,4.4187331199646,0.7636494636535645,,,,,,0.34782608695652173,0.13333333333333333,5.333333333333333,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,15,46,437,-2.3718064464713944,23.41981829328194,-0.10127347773452862,-0.09734602772215795,12.025798797607422,4.819771766662598,7.206027030944824,,,,,,0.391304347826087,0.08888888888888889,9.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,16,46,437,2.3079177531279464,27.223091309157255,0.0847779455653375,0.08211543882464377,15.952233791351318,5.083585739135742,10.868648052215576,,,,,,0.34782608695652173,0.08888888888888889,8.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,17,46,437,6.194623301943734,29.086051948663165,0.21297573534136685,0.20898118071689706,16.75384759902954,2.9370789527893066,13.816768646240234,,,,,,0.30434782608695654,0.13333333333333333,4.666666666666667,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,18,46,437,9.295597140888258,28.796630077624403,0.3228015610101244,0.31576058762229264,14.840298175811768,1.836047887802124,13.004250288009644,,,,,,0.2608695652173913,0.08888888888888889,6.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,19,46,437,9.556584866026958,23.75349217165289,0.40232336352764425,0.3908345389630645,13.499380111694336,-0.12640373408794403,13.62578384578228,,,,,,0.1956521739130435,0.08888888888888889,4.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,20,46,437,7.574560633010191,20.11361497392322,0.3765887257377857,0.3641676345245297,8.579031705856323,-0.9291484355926514,9.508180141448975,,,,,,0.2608695652173913,0.15555555555555556,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,21,46,437,2.671346597441683,20.395508729632084,0.13097719860061915,0.12815642440646027,2.162153959274292,-1.3194451332092285,3.4815990924835205,,,,,,0.2608695652173913,0.15555555555555556,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
1,22,46,437,-0.01230402339545017,21.085154353674543,-0.0005835396406906516,-0.0005800881451449887,-1.9154346585273743,-1.165704369544983,-0.7497302889823914,,,,,,0.2826086956521739,0.15555555555555556,3.25,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
