phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,phase_var,pfa,q
1,0,51,274,0.13364219665527344,1.1591291427612305,0.11529535055160522,0.11682079724361684,0.2860186696052551,0.12960374355316162,0.1564149260520935,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,1,51,274,0.1256227046251297,1.1894534826278687,0.10561380535364151,0.10673521732086157,0.294944703578949,0.09991525858640671,0.19502943754196167,,,,,,0.13725490196078433,0.12,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,2,51,274,0.09654258191585541,1.2237619161605835,0.07889000326395035,0.07984657173044216,0.08537447452545166,0.09777273237705231,-0.012398257851600647,,,,,,0.1568627450980392,0.08,4.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,3,51,274,0.0874519944190979,1.2502366304397583,0.06994835287332535,0.07094484113480404,0.03738832473754883,0.11322891712188721,-0.07584059238433838,,,,,,0.11764705882352941,0.04,6.0,1,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,4,51,274,0.06496661901473999,1.1788265705108643,0.05511126294732094,0.05602062257620483,0.15783539414405823,0.0884152203798294,0.06942017376422882,,,,,,0.17647058823529413,0.08,4.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,5,51,274,0.0243055522441864,1.0666157007217407,0.02278754487633705,0.023089586980349276,0.13044625520706177,0.050687696784734726,0.07975855469703674,,,,,,0.17647058823529413,0.1,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,6,51,274,0.01796974241733551,0.9727830290794373,0.01847250759601593,0.01866020199423355,0.21910172700881958,0.013657762669026852,0.20544396340847015,,,,,,0.13725490196078433,0.1,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,7,51,274,0.04259740561246872,0.9538828134536743,0.04465685412287712,0.04509733678579634,0.3273225724697113,-0.008577692322432995,0.33590027689933777,,,,,,0.19607843137254902,0.18,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,8,51,274,0.05203992873430252,0.9758048057556152,0.05333026498556137,0.05421989392902407,0.34228822588920593,0.009687734767794609,0.33260050415992737,,,,,,0.17647058823529413,0.16,2.25,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,9,51,274,0.027219075709581375,0.9883557558059692,0.027539756149053574,0.02840344282693559,0.14787721633911133,0.023545237258076668,0.12433198094367981,,,,,,0.17647058823529413,0.12,3.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,10,51,274,-0.02341562882065773,1.0774227380752563,-0.021733000874519348,-0.022706803313600563,-0.08438580483198166,-0.005887835286557674,-0.07849796861410141,,,,,,0.11764705882352941,0.12,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,11,51,274,-0.07195214927196503,1.2894768714904785,-0.055799487978219986,-0.05807975936390194,-0.10531174391508102,-0.10738879442214966,0.002077050507068634,,,,,,0.17647058823529413,0.2,1.8,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
